"Street Address","Suburb","State","Postcode","Property Type","Bed","Bath","Car","Land Size (m²)","Floor Size (m²)","Year Built","Sale Price","Sale Date","Sale Type","Agency","Land Use","Development Zone","Parcel Details","Owner Type","Open in RPData"
"63 ALWYN STREET ","MITCHAM","VIC","3132","House: Standard","3","1","3","690","119","-","$1,500,000","07 Dec 2023","-","NOEL JONES WHITEHORSE - (BOX HILL & MITCHAM","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","26/LP17899","Owner Occupied","https://rpp.corelogic.com.au/property/63-alwyn-street-mitcham-vic-3132/11846481"
"319B/1 COLOMBO STREET ","MITCHAM","VIC","3132","Unit","1","1","1","3,890","42","2012","$310,000","07 Dec 2023","-","NOEL JONES MITCHAM","OYO Subdivided Flat","Mixed Use Zone","307B/PS632398","Rented","https://rpp.corelogic.com.au/property/319b-1-colombo-street-mitcham-vic-3132/16158326"
"1/445-447 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","345","165","2002","$1,100,000","07 Dec 2023","-","NOEL JONES MITCHAM","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 1","1/PS504749","Owner Occupied","https://rpp.corelogic.com.au/property/1-445-447-mitcham-road-mitcham-vic-3132/11854699"
"8 GLEN ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","1","2","1,076","143","-","$0","06 Dec 2023","Nils And Wills","-","-","Neighbourhood Residential Zone - Schedule 4","9/LP26486","Owner Occupied","https://rpp.corelogic.com.au/property/8-glen-road-mitcham-vic-3132/11851213"
"ALBERT STREET ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","163","-","-","$741,500","05 Dec 2023","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 1","6/SP27364","Rented","https://rpp.corelogic.com.au/property/albert-street-mitcham-vic-3132/34387169"
"3/3-5 ALBERT STREET ","MITCHAM","VIC","3132","Unit","2","1","1","163","82","2007","$741,500","05 Dec 2023","-","NOEL JONES MITCHAM","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 1","3/SP27364","Rented","https://rpp.corelogic.com.au/property/3-3-5-albert-street-mitcham-vic-3132/11846218"
"451 MITCHAM ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","1,043","166","1910","$1,446,000","03 Dec 2023","-","Buxton Box Hill","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","1/LP112377","Rented","https://rpp.corelogic.com.au/property/451-mitcham-road-mitcham-vic-3132/11854723"
"4/42 CARWEEN AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","1","2","246","106","-","$806,000","02 Dec 2023","-","Jellis Craig Whitehorse","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","4/PS309715","Owner Occupied","https://rpp.corelogic.com.au/property/4-42-carween-avenue-mitcham-vic-3132/11847830"
"26/520 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","1","129","106","2018","$833,000","02 Dec 2023","-","Ray White Glen Waverley","OYO Unit","Neighbourhood Residential Zone - Schedule 3","26/PS744064","Owner Occupied","https://rpp.corelogic.com.au/property/26-520-mitcham-road-mitcham-vic-3132/17671418"
"15 CARWEEN AVENUE ","MITCHAM","VIC","3132","House: Standard","5","3","2","760","-","-","$1,630,000","30 Nov 2023","-","NOEL JONES MITCHAM","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","3/LP54427","Owner Occupied","https://rpp.corelogic.com.au/property/15-carween-avenue-mitcham-vic-3132/11847708"
"19/21 COOK ROAD ","MITCHAM","VIC","3132","Business: Wholesale Trade","-","-","2","276","-","-","$1,375,000","30 Nov 2023","-","Hudson Bond Commercial Pty. Ltd.","General Purpose Warehouse","Industrial 3 Zone","19/PS747260","-","https://rpp.corelogic.com.au/property/19-21-cook-road-mitcham-vic-3132/37515299"
"20 HEATHERDALE ROAD ","MITCHAM","VIC","3132","House","4","1","2","1,200","143.7","1970","$1,100,000","30 Nov 2023","-","Noel Jones Ringwood and Croydon","Res Land (with buildings that add no value)","General Residential Zone - Schedule 2","6/LP8807","Rented","https://rpp.corelogic.com.au/property/20-heatherdale-road-mitcham-vic-3132/11852141"
"9 KARENS CLOSE ","MITCHAM","VIC","3132","House","4","2","2","665","360","2001","$1,675,000","30 Nov 2023","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","5/PS345992","Owner Occupied","https://rpp.corelogic.com.au/property/9-karens-close-mitcham-vic-3132/11852974"
"9/14 SIMLA STREET ","MITCHAM","VIC","3132","Business: Transport & Storage","-","-","-","4,155","-","-","$346,500","28 Nov 2023","-","-","Store","-","9/PS425700","-","https://rpp.corelogic.com.au/property/9-14-simla-street-mitcham-vic-3132/48259075"
"15/74-78 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","2","1","2","140","75","2000","$740,000","27 Nov 2023","-","Barry Plant Blackburn","Single Strata Unit/Villa Unit/Townhouse","Residential Growth Zone - Schedule 1","15/PS401637","Rented","https://rpp.corelogic.com.au/property/15-74-78-doncaster-east-road-mitcham-vic-3132/11850197"
"9/21 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","326","132","2012","$1,105,000","26 Nov 2023","-","Jellis Craig Whitehorse","OYO Unit","Neighbourhood Residential Zone - Schedule 4","10/PS648889","Owner Occupied","https://rpp.corelogic.com.au/property/9-21-doncaster-east-road-mitcham-vic-3132/16733314"
"2/2 PANEL STREET ","MITCHAM","VIC","3132","Unit: Standard","4","-","-","346","-","-","$1,550,000","26 Nov 2023","-","-","Strata Unit or Flat  (Unspecified)","-","2/PS908661","Owner Occupied","https://rpp.corelogic.com.au/property/2-2-panel-street-mitcham-vic-3132/52051082"
"105 ROOKS ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","3","1","615","121","1960","$1,452,000","26 Nov 2023","-","Levic Group Pty Ltd","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","20/LP34188","Owner Occupied","https://rpp.corelogic.com.au/property/105-rooks-road-mitcham-vic-3132/11857793"
"1/31 HALLS PARADE ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","321","127","1994","$950,000","25 Nov 2023","-","Barry Plant Blackburn (Sales)","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","1/PS321257","Owner Occupied","https://rpp.corelogic.com.au/property/1-31-halls-parade-mitcham-vic-3132/11851772"
"3/575 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","226","129","2003","$910,000","25 Nov 2023","-","Jellis Craig Whitehorse","Single Strata Unit/Villa Unit/Townhouse","Residential Growth Zone - Schedule 1","3/PS508405","Rented","https://rpp.corelogic.com.au/property/3-575-whitehorse-road-mitcham-vic-3132/11860734"
"1/17 MCGHEE AVENUE ","MITCHAM","VIC","3132","Unit: Standard","3","-","1","407","113","1995","$0","24 Nov 2023","Nils And Wills","-","Strata Unit or Flat  (Unspecified)","General Residential Zone - Schedule 2","1/PS335420","Rented","https://rpp.corelogic.com.au/property/1-17-mcghee-avenue-mitcham-vic-3132/11853926"
"3A MORESBY STREET ","MITCHAM","VIC","3132","House: Standard","4","2","1","291","175","2014","$1,220,000","24 Nov 2023","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","2/PS636811","Owner Occupied","https://rpp.corelogic.com.au/property/3a-moresby-street-mitcham-vic-3132/16397581"
"28 DUNFIELD AVENUE ","MITCHAM","VIC","3132","House: Standard","3","1","4","584","120","1965","$1,220,000","22 Nov 2023","-","Ray White Forest Hill","Detached Dwelling","General Residential Zone - Schedule 1","55/LP64367","Owner Occupied","https://rpp.corelogic.com.au/property/28-dunfield-avenue-mitcham-vic-3132/11850369"
"15 GLEN ROAD ","MITCHAM","VIC","3132","House","4","2","1","671","190","1972","$1,195,000","21 Nov 2023","-","NOEL JONES REAL ESTATE","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","1/LP91489","Rented","https://rpp.corelogic.com.au/property/15-glen-road-mitcham-vic-3132/11851229"
"43 CHURINGA AVENUE ","MITCHAM","VIC","3132","House","3","1","3","900","158","1970","$1,168,500","18 Nov 2023","-","NOEL JONES - (BOX HILL & MITCHAM)","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","17/LP21158","Owner Occupied","https://rpp.corelogic.com.au/property/43-churinga-avenue-mitcham-vic-3132/11848268"
"2/5 MORESBY STREET ","MITCHAM","VIC","3132","Unit: Standard","3","2","1","268","115","1990","$937,600","18 Nov 2023","-","Harcourts First","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 1","2/SP32083","Owner Occupied","https://rpp.corelogic.com.au/property/2-5-moresby-street-mitcham-vic-3132/11855243"
"15 PATRICK COURT ","MITCHAM","VIC","3132","House","3","2","2","554","-","-","$1,470,000","18 Nov 2023","-","Jellis Craig Whitehorse","Detached Dwelling","General Residential Zone - Schedule 2","1/PS345665","Owner Occupied","https://rpp.corelogic.com.au/property/15-patrick-court-mitcham-vic-3132/11856481"
"10 WARNES ROAD ","MITCHAM","VIC","3132","House: Standard","4","1","2","1,041","156","-","$1,037,000","18 Nov 2023","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","96/LP8022","Owner Occupied","https://rpp.corelogic.com.au/property/10-warnes-road-mitcham-vic-3132/11860143"
"CARWEEN AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","322","-","1990","$430,000","16 Nov 2023","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","8/SP23725","Owner Occupied","https://rpp.corelogic.com.au/property/carween-avenue-mitcham-vic-3132/35468158"
"4/62 CARWEEN AVENUE ","MITCHAM","VIC","3132","Unit: Standard","1","1","1","76","-","1990","$430,000","16 Nov 2023","-","Harcourts Blackburn","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","4/SP23725","Owner Occupied","https://rpp.corelogic.com.au/property/4-62-carween-avenue-mitcham-vic-3132/11847920"
"30 KULNINE AVENUE ","MITCHAM","VIC","3132","House","4","2","3","712","267","2025","$1,035,000","16 Nov 2023","-","Noel Jones Box Hill","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","47/LP11819","Owner Occupied","https://rpp.corelogic.com.au/property/30-kulnine-avenue-mitcham-vic-3132/11853061"
"2/21 COOK ROAD ","MITCHAM","VIC","3132","Business: Wholesale Trade","-","-","2","177","-","-","$770,000","15 Nov 2023","-","Hudson Bond Commercial Pty. Ltd.","General Purpose Warehouse","Industrial 3 Zone","2/PS747260","-","https://rpp.corelogic.com.au/property/2-21-cook-road-mitcham-vic-3132/37515316"
"10/24 HARRISON STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","174","82","1965","$605,000","15 Nov 2023","-","NOEL JONES REAL ESTATE BLACKBURN","Single Strata Unit/Villa Unit/Townhouse","Residential Growth Zone - Schedule 1","10/RP6940","Rented","https://rpp.corelogic.com.au/property/10-24-harrison-street-mitcham-vic-3132/11852033"
"15 OMEGA COURT ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","-","804","181","-","$0","15 Nov 2023","Nils And Wills","Barry Plant Manningham","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 1","22/LP138109","Owner Occupied","https://rpp.corelogic.com.au/property/15-omega-court-mitcham-vic-3132/11855670"
"4 PATRICK COURT ","MITCHAM","VIC","3132","House","4","2","2","411","170","1996","$1,200,400","15 Nov 2023","-","McGrath Croydon","Detached Dwelling","General Residential Zone - Schedule 2","20/PS339824","Owner Occupied","https://rpp.corelogic.com.au/property/4-patrick-court-mitcham-vic-3132/11856457"
"39 CREEK ROAD ","MITCHAM","VIC","3132","House: Standard","4","2","2","643","188","1950","$1,655,000","11 Nov 2023","-","Jellis Craig Whitehorse","Detached Dwelling","General Residential Zone - Schedule 2","4/LP27432","Owner Occupied","https://rpp.corelogic.com.au/property/39-creek-road-mitcham-vic-3132/11849038"
"49 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","House","3","1","-","711","124","-","$1,260,000","11 Nov 2023","-","Biggin & Scott Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","1/LP15794","Owner Occupied","https://rpp.corelogic.com.au/property/49-doncaster-east-road-mitcham-vic-3132/11849999"
"2/2 GLEN ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","298","-","2009","$1,100,000","11 Nov 2023","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","2/PS615259","Owner Occupied","https://rpp.corelogic.com.au/property/2-2-glen-road-mitcham-vic-3132/14826369"
"2/4 GLEN ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","278","115","2005","$1,105,000","11 Nov 2023","-","NOEL JONES MITCHAM","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","2/PS542399","Owner Occupied","https://rpp.corelogic.com.au/property/2-4-glen-road-mitcham-vic-3132/11851202"
"320B/1 COLOMBO STREET ","MITCHAM","VIC","3132","Unit","1","1","1","3,890","41","2012","$295,000","10 Nov 2023","-","Docking Real Estate - Vermont","OYO Subdivided Flat","Mixed Use Zone","308B/PS632398","Rented","https://rpp.corelogic.com.au/property/320b-1-colombo-street-mitcham-vic-3132/16202204"
"23 GOOD GOVERNS STREET ","MITCHAM","VIC","3132","House","3","1","2","609","140","1980","$1,022,000","09 Nov 2023","-","NOEL JONES MITCHAM","Detached Dwelling","General Residential Zone - Schedule 2","7/LP22104","Owner Occupied","https://rpp.corelogic.com.au/property/23-good-governs-street-mitcham-vic-3132/11851485"
"683 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","1","2","447","98","-","$0","07 Nov 2023","Nils And Wills","WOODARDS REAL ESTATE BLACKBURN","Townhouse","Neighbourhood Residential Zone - Schedule 3","1/PS544939","Owner Occupied","https://rpp.corelogic.com.au/property/683-whitehorse-road-mitcham-vic-3132/11860984"
"21A DEEP CREEK ROAD ","MITCHAM","VIC","3132","House: Standard","4","2","2","560","199","-","$1,350,000","06 Nov 2023","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/PS821952","Owner Occupied","https://rpp.corelogic.com.au/property/21a-deep-creek-road-mitcham-vic-3132/47504316"
"1/712 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","2","2","310","175","1995","$920,000","04 Nov 2023","-","Barry Plant Blackburn (Sales)","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","1/PS726786","Owner Occupied","https://rpp.corelogic.com.au/property/1-712-whitehorse-road-mitcham-vic-3132/17839997"
"313B/1 COLOMBO STREET ","MITCHAM","VIC","3132","Unit: Standard","1","1","1","3,890","56","2012","$305,000","02 Nov 2023","-","Biggin & Scott Mitcham","OYO Subdivided Flat","Mixed Use Zone","301B/PS632398","Rented","https://rpp.corelogic.com.au/property/313b-1-colombo-street-mitcham-vic-3132/16151601"
"4 DEAKIN STREET ","MITCHAM","VIC","3132","House: Standard","3","1","2","446","109","-","$1,030,000","02 Nov 2023","-","Barry Plant Blackburn (Sales)","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","LOT 20 LP3045 & LOT 2 TP20704","Owner Occupied","https://rpp.corelogic.com.au/property/4-deakin-street-mitcham-vic-3132/11849515"
"5/12-14 FERGUSON STREET ","MITCHAM","VIC","3132","Unit","2","1","1","177","96","2009","$720,000","01 Nov 2023","-","Harcourts Mitcham","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","5/PS621396","Owner Occupied","https://rpp.corelogic.com.au/property/5-12-14-ferguson-street-mitcham-vic-3132/14893800"
"15/2 CHIPPEWA AVENUE ","MITCHAM","VIC","3132","Unit","3","1","1","179","90","1980","$643,200","28 Oct 2023","-","Ray White Burwood","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","LOTS 15 & 31 SP25052","Owner Occupied","https://rpp.corelogic.com.au/property/15-2-chippewa-avenue-mitcham-vic-3132/16104708"
"3/7 WALKER AVENUE ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","280","164","2007","$1,160,000","28 Oct 2023","-","Noel Jones Whitehorse - (Box Hill & Mitcham)","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","3/PS701180","Owner Occupied","https://rpp.corelogic.com.au/property/3-7-walker-avenue-mitcham-vic-3132/16117059"
"76 CHURINGA AVENUE ","MITCHAM","VIC","3132","House","3","1","2","590","159","1980","$1,230,000","26 Oct 2023","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","23/LP43390","Owner Occupied","https://rpp.corelogic.com.au/property/76-churinga-avenue-mitcham-vic-3132/11848344"
"COPPIN CLOSE ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","779","-","-","$694,000","25 Oct 2023","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","7/RP10426","Owner Occupied","https://rpp.corelogic.com.au/property/coppin-close-mitcham-vic-3132/34908213"
"3/3 COPPIN CLOSE ","MITCHAM","VIC","3132","Unit: Standard","2","2","1","127","92","1975","$694,000","25 Oct 2023","-","OBrien Real Estate Vermont","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","3/RP10426","Owner Occupied","https://rpp.corelogic.com.au/property/3-3-coppin-close-mitcham-vic-3132/11848845"
"17 LANGFORD AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","1","585","116","1975","$1,238,000","25 Oct 2023","-","First National Real Estate Janssen & Co","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","8/LP54034","Rented","https://rpp.corelogic.com.au/property/17-langford-avenue-mitcham-vic-3132/11853152"
"401/435-439 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Flats: Self Contained","3","2","2","3,180","89","2011","$700,000","24 Oct 2023","-","Jellis Craig Balwyn","OYO Subdivided Flat","Residential Growth Zone - Schedule 2","301/PS629194","Owner Occupied","https://rpp.corelogic.com.au/property/401-435-439-whitehorse-road-mitcham-vic-3132/15898670"
"11A DEEP CREEK ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","3","2","534","216","2021","$1,335,000","21 Oct 2023","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/PS803501","Owner Occupied","https://rpp.corelogic.com.au/property/11a-deep-creek-road-mitcham-vic-3132/37567580"
"4/40 DUDLEY STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","155","92","1960","$665,000","21 Oct 2023","-","Jellis Craig Whitehorse","Strata Unit or Flat  (Unspecified)","Neighbourhood Residential Zone - Schedule 3","4/PS801294","Rented","https://rpp.corelogic.com.au/property/4-40-dudley-street-mitcham-vic-3132/37465155"
"PRINCE EDWARD AVENUE ","MITCHAM","VIC","3132","Unit: Standard","4","-","-","244","-","-","$1,070,000","21 Oct 2023","-","-","Single Strata Unit/Villa Unit/Townhouse","-","2/PS841819","Owner Occupied","https://rpp.corelogic.com.au/property/prince-edward-avenue-mitcham-vic-3132/48938888"
